symbol,starttime,start_LTP,endtime,end_LTP,change_pct,start_buySellRatio,end_buySellRatio,bidAskSpread_start,bidAskSpread_end
NSE:360ONE-EQ,2025-09-25 09:32:01.254906,1017.90,2025-09-25 09:55:08.150670,1025.00,0.712,1.3797,2.4324,0.4000,0.7000
NSE:360ONE-EQ,2025-09-25 09:58:10.202372,1022.30,2025-09-25 10:28:10.116004,1028.80,0.665,1.7183,2.1633,0.1000,0.1000
NSE:360ONE-EQ,2025-09-25 10:45:23.649744,1027.00,2025-09-25 11:15:23.404125,1020.30,0.667,1.8275,1.2340,0.1000,0.2000
NSE:3MINDIA-EQ,2025-09-25 14:27:31.614708,29200.00,2025-09-25 14:57:27.369205,28985.00,0.737,0.7711,0.6025,20.0000,20.0000
NSE:3MINDIA-EQ,2025-09-25 14:57:40.584924,29005.00,2025-09-25 15:12:17.691569,28835.00,0.664,0.6467,0.6080,30.0000,45.0000
NSE:63MOONS-EQ,2025-09-25 10:05:23.151659,914.00,2025-09-25 10:35:22.101898,906.10,0.818,0.3817,0.2771,0.5500,0.7000
NSE:63MOONS-EQ,2025-09-25 10:45:12.431019,902.00,2025-09-25 11:15:10.105209,908.40,0.684,0.2815,0.3371,0.9000,0.4500
NSE:63MOONS-EQ,2025-09-25 11:15:15.730775,908.40,2025-09-25 11:17:44.073429,914.10,0.672,0.3374,0.3769,0.9500,0.7500
NSE:63MOONS-EQ,2025-09-25 11:18:53.148018,916.65,2025-09-25 11:43:21.555726,912.00,0.695,0.4008,0.3408,1.0500,0.7000
NSE:63MOONS-EQ,2025-09-25 11:53:00.702127,911.75,2025-09-25 12:22:58.239237,917.50,0.700,0.3369,0.3895,0.5000,0.4500
NSE:63MOONS-EQ,2025-09-25 12:27:15.777822,917.00,2025-09-25 12:41:00.792019,922.90,0.662,0.3855,0.4008,0.8500,0.7000
NSE:63MOONS-EQ,2025-09-25 12:41:04.756661,922.90,2025-09-25 12:46:29.956988,916.05,0.709,0.3999,0.3453,0.7500,1.0500
NSE:63MOONS-EQ,2025-09-25 13:41:28.113387,912.70,2025-09-25 14:11:27.331481,903.95,0.932,0.3310,0.2614,0.7000,0.4000
NSE:63MOONS-EQ,2025-09-25 14:11:29.740570,903.55,2025-09-25 14:30:56.986041,895.40,0.841,0.2638,0.2283,0.4000,0.6000
NSE:63MOONS-EQ,2025-09-25 14:30:58.977894,895.40,2025-09-25 14:39:06.259609,902.00,0.739,0.2340,0.2697,0.7500,1.0000
NSE:63MOONS-EQ,2025-09-25 14:39:11.469657,902.00,2025-09-25 14:50:55.582379,898.00,0.684,0.2708,0.2006,0.8500,0.1000
NSE:63MOONS-EQ,2025-09-25 14:50:58.729616,898.00,2025-09-25 14:51:34.076306,891.00,0.694,0.2019,0.1845,0.1000,0.3500
NSE:AADHARHFC-EQ,2025-09-25 09:32:55.354794,536.70,2025-09-25 10:02:47.909667,540.60,0.764,0.3121,0.4342,0.3000,0.4000
NSE:AADHARHFC-EQ,2025-09-25 10:02:54.280900,541.05,2025-09-25 10:29:25.586729,537.40,0.675,0.4503,0.3015,0.2000,0.5000
NSE:AADHARHFC-EQ,2025-09-25 14:27:04.811257,534.05,2025-09-25 14:37:54.333828,530.60,0.669,0.2546,0.1865,0.0500,0.3000
NSE:AADHARHFC-EQ,2025-09-25 14:42:33.678454,531.45,2025-09-25 15:11:47.541241,528.00,0.668,0.1947,0.1374,0.3500,0.2500
NSE:AARTIDRUGS-EQ,2025-09-25 09:32:01.618715,519.80,2025-09-25 09:39:32.484100,523.05,0.727,0.3252,0.3529,0.5500,0.4000
NSE:AARTIDRUGS-EQ,2025-09-25 09:40:41.194528,524.75,2025-09-25 09:50:08.751120,521.00,0.725,0.3590,0.2529,0.5500,0.2500
