symbol,side,starttime,start_LTP,endtime,end_LTP,change_pct
NSE:AGARWALEYE-EQ,SHORT,2025-10-03 09:50:58.079872,499.50,2025-10-03 10:12:53.168191,496.25,0.660
NSE:AGARWALEYE-EQ,LONG,2025-10-03 10:17:59.670916,497.05,2025-10-03 10:50:59.073116,500.25,0.710
NSE:AGARWALEYE-EQ,LONG,2025-10-03 10:50:59.928057,499.80,2025-10-03 11:12:38.467318,504.00,0.754
NSE:AGARWALEYE-EQ,SHORT,2025-10-03 11:36:50.870233,505.00,2025-10-03 12:09:49.723910,501.95,0.668
NSE:AGARWALEYE-EQ,LONG,2025-10-03 12:09:54.512657,501.95,2025-10-03 12:13:12.981436,505.20,0.688
NSE:AGARWALEYE-EQ,SHORT,2025-10-03 12:13:14.978951,505.00,2025-10-03 12:16:41.277182,502.05,0.722
NSE:AGARWALEYE-EQ,SHORT,2025-10-03 12:16:43.191008,501.45,2025-10-03 12:33:17.448039,497.55,0.748
NSE:AGARWALEYE-EQ,LONG,2025-10-03 14:27:22.707323,496.85,2025-10-03 15:00:20.329691,500.45,0.719
NSE:ICICIGI-EQ,SHORT,2025-10-03 09:38:54.015016,1919.50,2025-10-03 10:11:19.591184,1906.70,0.680
NSE:ICICIGI-EQ,SHORT,2025-10-03 10:56:01.095627,1909.50,2025-10-03 11:28:59.826327,1896.60,0.670
NSE:ICICIGI-EQ,LONG,2025-10-03 14:19:33.885931,1904.50,2025-10-03 14:52:32.852831,1916.90,0.662
NSE:VTL-EQ,SHORT,2025-10-03 09:52:19.077684,411.00,2025-10-03 10:21:00.733854,408.25,0.669
NSE:KAYNES-EQ,SHORT,2025-10-03 10:23:12.514820,7220.50,2025-10-03 10:46:52.512194,7170.50,0.665
NSE:CAMPUS-EQ,LONG,2025-10-03 13:46:21.381357,272.20,2025-10-03 14:19:12.602967,273.90,0.680
NSE:PICCADIL-EQ,SHORT,2025-10-03 09:37:28.854465,685.55,2025-10-03 09:50:27.082298,681.70,0.667
NSE:PICCADIL-EQ,LONG,2025-10-03 09:50:33.949919,681.70,2025-10-03 09:55:50.313813,686.00,0.723
NSE:PICCADIL-EQ,SHORT,2025-10-03 09:56:22.553253,687.05,2025-10-03 10:25:17.799148,682.95,0.691
NSE:PICCADIL-EQ,SHORT,2025-10-03 11:48:33.227884,683.40,2025-10-03 12:21:33.010310,677.45,0.736
NSE:PICCADIL-EQ,LONG,2025-10-03 12:21:43.032285,678.05,2025-10-03 12:52:55.630061,681.95,0.660
NSE:EASEMYTRIP-EQ,SHORT,2025-10-03 09:39:27.071112,8.12,2025-10-03 10:12:22.459298,8.06,0.739
NSE:EASEMYTRIP-EQ,LONG,2025-10-03 14:09:21.234693,8.11,2025-10-03 14:42:19.224435,8.16,0.679
NSE:AFFLE-EQ,SHORT,2025-10-03 09:41:38.764180,1955.20,2025-10-03 10:14:16.291637,1941.80,0.660
NSE:AFFLE-EQ,LONG,2025-10-03 12:14:56.517614,1922.00,2025-10-03 12:47:55.966343,1935.10,0.668
NSE:AFFLE-EQ,SHORT,2025-10-03 14:31:14.439131,1947.90,2025-10-03 14:58:31.947455,1935.90,0.662
NSE:TITAN-EQ,SHORT,2025-10-03 09:51:58.412470,3410.70,2025-10-03 10:14:31.651604,3388.00,0.671
NSE:TITAN-EQ,LONG,2025-10-03 10:43:44.056830,3388.00,2025-10-03 11:13:31.240437,3410.60,0.661
NSE:TITAN-EQ,LONG,2025-10-03 11:39:27.184376,3398.40,2025-10-03 12:12:19.136518,3421.70,0.668
NSE:TITAN-EQ,LONG,2025-10-03 13:23:18.616095,3406.50,2025-10-03 13:51:23.467008,3428.70,0.663
NSE:TITAN-EQ,LONG,2025-10-03 14:23:29.292809,3424.30,2025-10-03 14:52:21.990977,3446.70,0.660
NSE:CUMMINSIND-EQ,LONG,2025-10-03 09:45:37.772331,3842.70,2025-10-03 10:18:34.167047,3871.80,0.680
NSE:CUMMINSIND-EQ,LONG,2025-10-03 10:30:54.350804,3871.80,2025-10-03 11:03:44.653771,3896.30,0.661
NSE:CROMPTON-EQ,SHORT,2025-10-03 10:30:04.198142,295.80,2025-10-03 11:02:29.009649,293.85,0.693
NSE:ASHOKA-EQ,SHORT,2025-10-03 09:35:00.246271,187.30,2025-10-03 10:07:57.131949,185.97,0.798
NSE:ASHOKA-EQ,LONG,2025-10-03 13:43:01.779651,186.89,2025-10-03 14:15:30.825143,188.02,0.661
NSE:IONEXCHANG-EQ,SHORT,2025-10-03 09:35:01.040878,413.50,2025-10-03 09:50:06.095902,409.95,0.763
NSE:IONEXCHANG-EQ,SHORT,2025-10-03 09:51:45.441733,410.70,2025-10-03 10:12:49.139901,407.70,0.676
NSE:IONEXCHANG-EQ,LONG,2025-10-03 10:44:10.771618,407.00,2025-10-03 11:15:52.914001,409.80,0.676
NSE:IONEXCHANG-EQ,LONG,2025-10-03 12:45:10.804604,407.40,2025-10-03 13:18:04.389695,409.85,0.670
NSE:IONEXCHANG-EQ,LONG,2025-10-03 13:57:28.125681,408.90,2025-10-03 14:30:23.390539,411.40,0.703
NSE:HGINFRA-EQ,SHORT,2025-10-03 09:38:35.135225,966.10,2025-10-03 10:11:34.881405,959.55,0.735
NSE:INFIBEAM-EQ,SHORT,2025-10-03 09:44:05.330101,16.63,2025-10-03 10:12:13.863218,16.52,0.661
NSE:INFIBEAM-EQ,LONG,2025-10-03 10:12:15.042058,16.52,2025-10-03 10:29:16.409734,16.65,0.787
NSE:TATSILV-EQ,LONG,2025-10-03 10:22:41.524121,14.06,2025-10-03 10:55:39.459905,14.16,0.676
NSE:TATSILV-EQ,SHORT,2025-10-03 10:59:19.101149,14.12,2025-10-03 11:32:19.044186,14.02,0.708
NSE:TATSILV-EQ,LONG,2025-10-03 11:32:20.658856,14.02,2025-10-03 11:41:26.347408,14.12,0.678
NSE:SURYAROSNI-EQ,LONG,2025-10-03 09:35:00.227994,287.95,2025-10-03 10:07:04.152757,290.20,0.807
NSE:SURYAROSNI-EQ,SHORT,2025-10-03 10:07:04.562982,290.20,2025-10-03 10:18:15.650287,289.00,0.671
NSE:SURYAROSNI-EQ,LONG,2025-10-03 11:30:02.452656,289.50,2025-10-03 12:02:55.054139,292.00,0.717
NSE:SURYAROSNI-EQ,SHORT,2025-10-03 12:06:06.331674,292.15,2025-10-03 12:11:20.789014,291.20,0.674
NSE:SURYAROSNI-EQ,LONG,2025-10-03 12:19:01.581392,290.85,2025-10-03 12:45:21.213993,292.30,0.663
NSE:SURYAROSNI-EQ,SHORT,2025-10-03 12:48:17.570413,292.55,2025-10-03 13:08:25.137173,290.95,0.675
NSE:SURYAROSNI-EQ,LONG,2025-10-03 13:49:07.667676,292.05,2025-10-03 14:04:08.473606,293.50,0.669
NSE:SURYAROSNI-EQ,LONG,2025-10-03 14:16:19.014321,293.00,2025-10-03 14:45:09.489792,295.00,0.674
NSE:FEDERALBNK-EQ,SHORT,2025-10-03 10:00:35.174203,194.88,2025-10-03 10:29:31.157410,193.60,0.670
NSE:FEDERALBNK-EQ,SHORT,2025-10-03 10:35:46.417010,193.88,2025-10-03 11:05:44.668272,192.60,0.660
NSE:FEDERALBNK-EQ,LONG,2025-10-03 11:05:46.264384,192.60,2025-10-03 11:33:47.901334,194.00,0.745
NSE:FEDERALBNK-EQ,SHORT,2025-10-03 11:33:48.263610,194.00,2025-10-03 11:48:27.957865,192.66,0.698
NSE:FEDERALBNK-EQ,LONG,2025-10-03 11:48:50.502956,192.61,2025-10-03 12:05:51.161129,194.00,0.662
NSE:INGERRAND-EQ,LONG,2025-10-03 09:36:02.833079,4131.00,2025-10-03 10:00:32.155682,4157.00,0.661
NSE:INGERRAND-EQ,SHORT,2025-10-03 10:00:33.937354,4157.00,2025-10-03 10:03:38.437179,4125.30,0.664
NSE:INGERRAND-EQ,SHORT,2025-10-03 10:08:24.413196,4128.10,2025-10-03 10:41:20.243076,4106.00,0.667
NSE:INGERRAND-EQ,SHORT,2025-10-03 14:02:27.801537,4093.70,2025-10-03 14:09:52.207565,4070.30,0.662
NSE:INGERRAND-EQ,LONG,2025-10-03 14:12:36.857106,4079.10,2025-10-03 14:45:35.124689,4120.00,0.728
